id,DeviceID,time,JoinedParentEventID,Location_Lng,Location_lat
1,9e6d81cd779c47e5919cde966207518e,2018-12-09 05:02:37.738842,1,21.0,12.0
2,b4b5d4ceb22f4fcca42f64bb24ce8aa9,2018-12-10 15:57:34.346562,1,43.2523112,43.2523112
3,54fe89c9d5814ea8a6923cf7f4770b74,2018-12-10 15:57:44.367970,1,43.2523112,43.2523112
4,20d1fa4b4b43475face33610ce1b1888,2018-12-10 15:58:01.710384,1,43.2523112,43.2523112
5,96ea6538bddd48b4b10cbdd479555342,2018-12-10 15:58:06.138793,1,43.2523112,43.2523112
6,ec3305048dfe4d19be494aef07833f02,2018-12-10 15:58:06.777834,1,43.2523112,43.2523112
7,a9e3773f0dd14fa0a0407badeeda0d2f,2018-12-10 15:58:12.328394,1,43.2523112,43.2523112
8,7417818956624214a4e1432d20ecde61,2018-12-10 15:58:17.134961,1,43.2523112,43.2523112
9,1c9c86585de84704950942559c803909,2018-12-10 15:58:17.699050,1,43.2523112,43.2523112
10,0c9ef008fb5f49f396391472f5760513,2018-12-10 15:58:18.825431,1,43.2523112,43.2523112
11,42a4ae064f90413ab781e500f13cca25,2018-12-10 15:58:20.263130,1,43.2523112,43.2523112
12,f6f813d57f374764a0ad21d94ab30e6d,2018-12-10 15:58:46.937310,1,43.2523112,43.2523112
13,f04522f92a8e48df83c3c95effc91f0d,2018-12-10 15:58:46.939969,1,43.2523112,43.2523112
14,a3567bdd4e4f4719a3d9cd51e41f1b82,2018-12-10 15:58:47.908867,1,43.2523112,43.2523112
15,c0761c988dcf4a0c86dbb1bf05564b73,2018-12-10 15:58:48.931412,1,43.2523112,43.2523112
16,bd142b0882a14e42ad0385bcefa5bf6d,2018-12-10 15:58:49.956452,1,43.2523112,43.2523112
17,89d00d83230749abab7147327c040ad4,2018-12-10 15:58:50.944318,1,43.2523112,43.2523112
18,06ba15b7d14a4940bbc5f2a04836bfb3,2018-12-10 15:58:51.955602,1,43.2523112,43.2523112
19,c3e29b2ddb56432b9011856318ba938c,2018-12-10 15:58:52.935510,1,43.2523112,43.2523112
20,2e5fee34528049b892936001e4956776,2018-12-10 15:58:53.948833,1,43.2523112,43.2523112
21,8127d9ec294e4eef8f4a4a58a4271727,2018-12-10 15:58:54.915784,1,43.2523112,43.2523112
22,45858bf6e1ff4437afab1cdf8836caa5,2018-12-10 15:58:55.930202,1,43.2523112,43.2523112
23,e1cd4c59af904ab696ecc31884e83596,2018-12-10 15:58:56.928831,1,43.2523112,43.2523112
24,302f1857dd5b4c15b1bb3a9ff9a85154,2018-12-10 15:58:57.942891,1,43.2523112,43.2523112
25,1d316d6e422641ec986a49515cf3fc44,2018-12-10 15:58:58.947622,1,43.2523112,43.2523112
26,dd2e1299f24f41ddbf8590c909fa34a2,2018-12-10 15:58:59.950671,1,43.2523112,43.2523112
27,6cb878ed264c47e6b1d949306fd95ad4,2018-12-10 15:59:00.941772,1,43.2523112,43.2523112
28,90028f6c7a8a447f91bf9782b8e60cdd,2018-12-10 15:59:01.957035,1,43.2523112,43.2523112
29,9950de7fc1174ea09bcb5aa5c69fa841,2018-12-10 15:59:02.960544,1,43.2523112,43.2523112
30,15a82869a91c430682565d63e30665f1,2018-12-10 15:59:03.941789,1,43.2523112,43.2523112
31,fdb12ae87c964f6e87411817d05422b9,2018-12-10 15:59:04.945305,1,43.2523112,43.2523112
32,8e42a1ee88c04baebedecad2c6b151c6,2018-12-10 15:59:05.959678,1,43.2523112,43.2523112
33,507bfd54f62c4c8ab7808648cbb0f049,2018-12-10 15:59:06.960638,1,43.2523112,43.2523112
34,f066599bc9cc463f8bb704fe95728ccd,2018-12-10 15:59:07.963641,1,43.2523112,43.2523112
35,0a1dd25e0a8a4d219facb22455cf49a0,2018-12-10 15:59:08.966777,1,43.2523112,43.2523112
36,7e99c49cf3814245acb057047c4aa9a9,2018-12-10 15:59:09.970161,1,43.2523112,43.2523112
37,4169cd1ad2f749d1b3e9254d029f63b5,2018-12-10 15:59:10.973187,1,43.2523112,43.2523112
